ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
1049,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.98%),0.00,11.10 (+462.06%),49.89 (+218.99%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1050,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.83 (+1106.88%),90.29 (+477.24%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1051,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.33%),0.00,1.48  (-24.93%),14.99   (-4.14%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1052,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15867.01%),0.00,11.11 (+462.65%),49.95 (+219.32%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1053,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.88%),0.00,37.20 (+1783.52%),69.97 (+347.37%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1054,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.95%),0.00,11.09 (+461.67%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1055,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.86 (+1108.00%),90.41 (+478.05%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1056,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.15%),0.00,1.49  (-24.62%),14.98   (-4.25%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1057,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.66%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1058,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.45 (+1695.04%),83.31 (+432.62%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1059,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.86%),0.00,72.37 (+3564.67%),48.19 (+208.12%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1060,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.72%),0.00,64.58 (+3169.97%),44.46 (+184.22%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1061,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2734.82%),0.00,2.59  (+31.18%),51.15 (+227.04%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1062,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.00%),0.00,86.54 (+4282.38%),58.34 (+272.97%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1063,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.22 (+3557.25%),58.62 (+274.76%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1064,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.65%),0.00,11.10 (+462.07%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1065,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.76 (+1103.35%),90.36 (+477.73%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1066,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.26%),0.00,1.48  (-25.28%),14.99   (-4.17%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1067,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.39%),0.00,11.11 (+462.68%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1068,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.91%),0.00,37.23 (+1785.35%),69.99 (+347.45%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1069,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.72%),0.00,11.09 (+461.69%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1070,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.87 (+1108.66%),90.57 (+479.02%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1071,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.08%),0.00,1.49  (-24.80%),14.98   (-4.22%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1072,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.44%),0.00,11.11 (+462.51%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1073,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.13%),0.00,35.45 (+1694.91%),83.47 (+433.63%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1074,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.37 (+3564.46%),48.20 (+208.13%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1075,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.60 (+3170.98%),44.44 (+184.11%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1076,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2738.73%),0.00,2.60  (+31.55%),51.14 (+226.93%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1077,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.46%),0.00,86.86 (+4298.21%),58.30 (+272.76%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1078,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.24 (+3558.17%),58.65 (+274.99%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1079,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.61%),0.00,11.10 (+462.12%),49.90 (+219.03%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1080,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.97 (+1113.93%),90.28 (+477.20%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1081,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.96%),0.00,1.51  (-23.70%),15.03   (-3.91%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1082,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.82%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1083,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.93%),0.00,37.28 (+1787.74%),70.05 (+347.87%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1084,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.24%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1085,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.83 (+1106.54%),90.50 (+478.63%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1086,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.17%),0.00,1.48  (-24.93%),14.99   (-4.15%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1087,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.84%),0.00,11.11 (+462.49%),49.93 (+219.23%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1088,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.13%),0.00,35.52 (+1698.69%),83.62 (+434.60%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1089,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.32 (+3562.06%),48.16 (+207.92%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1090,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.72%),0.00,64.58 (+3170.36%),44.45 (+184.16%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1091,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2750.41%),0.00,2.59  (+31.18%),51.27 (+227.78%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1092,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.08%),0.00,86.88 (+4299.44%),58.20 (+272.09%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1093,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.22 (+3557.04%),58.62 (+274.75%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1094,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.68%),0.00,11.10 (+462.07%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1095,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.05%),0.00,23.97 (+1113.97%),90.54 (+478.88%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1096,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.17%),0.00,1.47  (-25.76%),15.03   (-3.94%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1097,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15867.35%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1098,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.86%),0.00,37.12 (+1779.80%),69.78 (+346.11%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1099,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.74%),0.00,11.09 (+461.70%),49.91 (+219.07%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1100,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.75 (+1102.51%),90.42 (+478.07%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1101,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.16%),0.00,1.49  (-24.67%),15.01   (-4.06%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1102,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,7.63 (+261396.06%),0.00,11.11 (+462.57%),49.96 (+219.44%),48  (+84.62%),"  256, 3144,    1","   16,   16,    1"
1103,0.00,fused_classifier_kernel1,fused_classifier_kernel1..const..,0.01 (+354.35%),0.00,15.80 (+700.28%),75.33 (+381.62%),24   (-7.69%)," 1024,    1,    1","  128,    1,    1"
1104,80.00,encoder_forward_kernel1,encoder_forward_kernel1..const..,0.00   (+0.24%),0.00,1.97   (-0.01%),15.64   (+0.00%),26   (+0.00%),"    8,    1,    1","  512,    1,    1"
1105,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.25%),0.00,1.50  (-24.21%),14.99   (-4.17%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1106,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.02%),0.00,11.11 (+462.54%),49.94 (+219.26%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1107,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.52 (+1698.67%),83.55 (+434.17%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1108,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.87%),0.00,72.35 (+3563.79%),48.18 (+208.06%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1109,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.69%),0.00,64.60 (+3171.24%),44.41 (+183.96%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1110,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2729.90%),0.00,2.61  (+32.06%),51.72 (+230.66%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1111,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.97%),0.00,86.54 (+4282.29%),58.08 (+271.34%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1112,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.24 (+3558.16%),58.72 (+275.39%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1113,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.76%),0.00,11.10 (+462.10%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1114,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.79 (+1104.77%),90.54 (+478.87%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1115,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.98%),0.00,1.48  (-24.89%),15.04   (-3.87%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1116,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.44%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1117,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.94%),0.00,37.23 (+1785.11%),70.22 (+348.93%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1118,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.32%),0.00,11.09 (+461.68%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1119,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.80 (+1105.19%),90.45 (+478.26%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1120,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.48%),0.00,1.48  (-25.20%),14.98   (-4.24%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1121,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.15%),0.00,11.11 (+462.53%),49.94 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1122,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.47 (+1695.86%),83.46 (+433.58%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1123,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.42 (+3567.00%),48.23 (+208.32%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1124,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.68%),0.00,64.56 (+3169.28%),44.42 (+183.96%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1125,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2725.31%),0.00,2.60  (+31.70%),50.59 (+223.46%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1126,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.58%),0.00,86.45 (+4277.38%),58.19 (+272.04%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1127,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.23 (+3557.54%),58.64 (+274.91%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1128,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.67%),0.00,11.10 (+462.08%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1129,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.04%),0.00,23.92 (+1111.37%),90.42 (+478.10%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1130,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.90%),0.00,1.50  (-23.90%),15.04   (-3.87%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1131,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.71%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1132,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.96%),0.00,37.29 (+1788.03%),70.08 (+348.03%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1133,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.76%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1134,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.78 (+1104.13%),90.44 (+478.20%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1135,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.00%),0.00,1.48  (-25.12%),15.03   (-3.91%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1136,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.20%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1137,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.12%),0.00,35.41 (+1692.99%),83.32 (+432.68%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1138,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.89%),0.00,72.30 (+3561.07%),48.15 (+207.84%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1139,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.73%),0.00,64.58 (+3170.34%),44.46 (+184.23%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1140,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2760.33%),0.00,2.59  (+31.40%),51.10 (+226.69%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1141,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.42%),0.00,86.50 (+4280.10%),58.26 (+272.45%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1142,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.20 (+3555.95%),58.67 (+275.09%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1143,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.84%),0.00,11.10 (+462.08%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1144,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.77 (+1103.83%),90.58 (+479.11%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1145,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.01%),0.00,1.51  (-23.63%),14.99   (-4.18%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1146,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.47%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1147,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.98%),0.00,37.38 (+1792.65%),70.23 (+349.03%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1148,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.42%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1149,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.83 (+1106.54%),90.53 (+478.81%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1150,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.99%),0.00,1.48  (-24.96%),15.04   (-3.82%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1151,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.94%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1152,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.13%),0.00,35.49 (+1697.14%),83.32 (+432.71%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1153,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.77%),0.00,72.34 (+3563.09%),48.18 (+208.01%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1154,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.57 (+3169.50%),44.44 (+184.15%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1155,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2734.86%),0.00,2.57  (+30.08%),51.31 (+228.06%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1156,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.97%),0.00,86.38 (+4273.87%),58.07 (+271.24%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1157,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.25 (+3558.73%),58.66 (+275.03%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1158,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.57%),0.00,11.10 (+462.09%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1159,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.81 (+1105.49%),90.33 (+477.49%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1160,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.72%),0.00,1.50  (-24.11%),15.05   (-3.81%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1161,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15867.05%),0.00,11.11 (+462.67%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1162,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.96%),0.00,37.31 (+1789.08%),70.32 (+349.59%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1163,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.25%),0.00,11.09 (+461.69%),49.91 (+219.07%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1164,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.87 (+1108.78%),90.58 (+479.10%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1165,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.85%),0.00,1.48  (-25.11%),15.02   (-4.00%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1166,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.39%),0.00,11.11 (+462.51%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1167,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.51 (+1698.20%),83.48 (+433.73%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1168,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.90%),0.00,72.35 (+3563.69%),48.19 (+208.07%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1169,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.71%),0.00,64.60 (+3171.13%),44.43 (+184.05%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1170,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2714.98%),0.00,2.61  (+32.37%),51.20 (+227.36%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1171,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.96%),0.00,86.92 (+4301.28%),58.38 (+273.24%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
1172,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.24 (+3557.93%),58.68 (+275.15%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
1173,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.98%),0.00,11.10 (+462.09%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1174,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.89 (+1109.59%),90.40 (+477.99%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1175,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.05%),0.00,1.47  (-25.39%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1176,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.43%),0.00,11.11 (+462.69%),49.95 (+219.35%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
1177,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.84%),0.00,37.14 (+1780.65%),69.88 (+346.76%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
1178,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.39%),0.00,11.09 (+461.69%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
1179,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.84 (+1107.14%),90.35 (+477.64%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
1180,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.89%),0.00,1.49  (-24.76%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
1181,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.93%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
1182,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.58 (+1701.81%),83.42 (+433.33%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
1183,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.75%),0.00,72.30 (+3561.20%),48.15 (+207.85%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
1184,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.71%),0.00,64.58 (+3170.32%),44.43 (+184.08%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
1185,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2750.22%),0.00,2.56  (+29.81%),50.91 (+225.46%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
1186,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.44%),0.00,86.32 (+4270.98%),58.09 (+271.37%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
