ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
379,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.81%),0.00,1.48  (-24.93%),15.05   (-3.75%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
380,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.28%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
381,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.99%),0.00,37.34 (+1790.58%),70.34 (+349.69%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
382,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.15%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
383,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.84 (+1107.01%),90.46 (+478.32%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
384,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.63%),0.00,1.48  (-25.07%),14.98   (-4.25%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
385,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.57%),0.00,11.11 (+462.53%),49.94 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
386,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.13%),0.00,35.50 (+1697.44%),83.42 (+433.31%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
387,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.83%),0.00,72.36 (+3564.06%),48.19 (+208.08%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
388,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.71%),0.00,64.60 (+3171.17%),44.44 (+184.13%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
389,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2736.31%),0.00,2.62  (+32.68%),51.30 (+227.95%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
390,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.11%),0.00,86.45 (+4277.82%),58.05 (+271.11%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
391,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.24 (+3558.19%),58.68 (+275.17%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
392,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.61%),0.00,11.10 (+462.12%),49.90 (+219.02%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
393,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.04%),0.00,23.94 (+1112.11%),90.27 (+477.12%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
394,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.28%),0.00,1.50  (-24.04%),14.98   (-4.20%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
395,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.46%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
